Type,RA,Dec,pmRA,pmDec,V,B,Dist,RV,Spec,Comp,Delta,Sep,PA,Year,T,a,e,i,w,n,P,Vtype,Vmin,Vmax,Vper,Vepoch,IDs,Names
DV,14 51 23.38,+19 06 01.7,+0.00899,-0.0406,+4.67,+5.39,6.754E+00,+1.6,G8Ve+K4Ve,AB,+2.14,5.3,297.0,2020.00,1909.6220,4.9345,0.5139,140.45,25.49,168.79,152.961400,BY,+4.52,+4.67,10.14,,xi Boo;37 Boo;HR 5544;GJ 566A;HD 131156;SAO 101250;BD +19 2870;WDS 14514+1906;HIP 72659;TYC 1481-0722-1;GAIA 1237090738916392704,
DS,15 24 29.43,+37 22 37.8,-0.01258,+0.0896,+4.30,+4.62,3.763E+01,-12.1,F2IVa,A,,0.1,280.0,1993.00,,,,,,,,,,,,,mu1 Boo;51 Boo;HR 5733;GJ 3903A;HD 137391;SAO 64686;BD +37 2636;WDS 15245+3723;HIP 75411;TYC 2570-1521-1;GAIA 1387349379494809600,Alkalurops
DS,12 49 13.66,+83 24 46.4,-0.01636,+0.0176,+5.31,+5.34,9.302E+01,+2.3,A1III(shell),A,+0.57,21.5,326.0,1978.00,,,,,,,,,,,,,HR 4893;HD 112028;SAO 2102;BD +84 290;WDS 12492+8325;HIP 62572;TYC 4633-1785-1,
DS,08 12 12.73,+17 38 52.0,+0.00198,-0.1509,+5.63,+6.17,2.557E+01,-9.4,F8V,AB,+0.90,1.1,4.2,2020.00,1929.5284,0.8527,0.3144,173.57,239.23,67.75,59.425200,,,,,,zeta1 Cnc;16 Cnc;HR 3208;HD 68257;SAO 97645;BD +18 1867;WDS 08122+1739;HIP 40167;TYC 1381-1638-1,Tegmine
DS,08 46 41.82,+28 45 35.6,-0.00157,-0.0440,+4.02,+5.01,9.141E+01,+15.7,G8II-III,A,+2.55,30.4,307.0,1973.00,,,,,,,,,,,,,iota Cnc;48 Cnc;HR 3475;HD 74739;SAO 80416;BD +29 1824;WDS 08467+2846;HIP 43103;TYC 1949-2011-1,
DV,12 56 01.67,+38 19 06.2,-0.01986,+0.0550,+2.89,+2.83,3.056E+01,-3.3,A0II-IIIpSiEuCr,A,+2.71,19.3,228.0,1984.00,,,,,,,,ACV,+2.84,+2.98,5.47,2448502.94,alpha2 CVn;12 CVn;HR 4915;HD 112413;SAO 63257;BD +39 2580;WDS 12560+3819;HIP 63125;TYC 3021-2645-1;GAIA 1517698716348324992,Cor Caroli
DS,06 45 08.92,-16 42 58.0,-0.03801,-1.2231,-1.44,-1.43,2.637E+00,-7.6,A1Vm,AB,+9.87,11.2,68.1,2020.00,1994.5703,7.4957,0.5914,136.34,149.16,45.40,50.128400,,,,,,alpha CMa;9 CMa;HR 2491;GJ 244A;HD 48915;SAO 151881;BD -16 1591;WDS 06451-1643;HIP 32349;TYC 5949-2777-1,Sirius
DS,06 58 37.55,-28 58 19.5,+0.00020,+0.0023,+1.53,+1.40,1.321E+02,+27.3,B2II,,+6.00,7.5,161.0,1951.00,,,,,,,,,,,,,epsilon CMa;21 CMa;HR 2618;HD 52089;SAO 172676;CD -28 3666;WDS 06586-2858;HIP 33579;TYC 6535-3619-1,Adhara
DS,07 16 36.83,-23 18 56.1,-0.00028,+0.0039,+4.82,+6.51,8.227E+02,+27.9,K3Ib-II,A,+2.01,26.8,53.0,1985.00,,,,,,,,,,,,,HR 2764;HD 56577;SAO 173349;CD -23 5189;WDS 07166-2319;HIP 35210;TYC 6537-3290-1;GAIA 5618016960638976896,
DS,20 18 03.26,-12 32 41.5,+0.00418,+0.0024,+3.58,+4.53,3.343E+01,+0.7,G9III,A,+7.40,6.6,172.0,1959.00,,,,,,,,,,,,,alpha2 Cap;6 Cap;HR 7754;HD 192947;SAO 163427;BD -12 5685;WDS 20181-1233;HIP 100064;TYC 5749-2530-1;GAIA 6880093650314169984,Algedi
DS,09 47 06.12,-65 04 19.2,-0.00206,+0.0076,+3.01,+3.28,2.676E+02,+14.0,A6Ib,A,+3.00,5.0,127.0,1977.00,,,,,,,,,,,,,upsilon Car;HR 3890;HD 85123;SAO 250695;CP -64 1084;WDS 09471-6504;HIP 48002;TYC 8950-2272-1;GAIA 5249119024128109952,
DS,10 38 45.00,-59 10 58.8,-0.00193,+0.0006,+4.74,+6.37,4.341E+02,+10.2,K4-5III:,A,+3.30,14.5,21.0,1956.00,,,,,,,,,,,,,HR 4177;HD 92397;SAO 238295;CP -58 2460;WDS 10387-5911;HIP 52102;TYC 8613-3365-1;GAIA 5350588691660896128,
DS,00 02 36.09,+66 05 56.3,+0.00119,-0.0001,+5.84,+6.91,2.461E+02,-17.2,G8III,A,+1.45,15.2,70.0,1984.00,,,,,,,,,,,,,HR 9094;HD 225009;SAO 10937;BD +65 1987;WDS 00026+6606;HIP 207;TYC 4026-0680-1;GAIA 432336806794345472,
DV,00 49 06.29,+57 48 54.7,+0.13606,-0.5597,+3.45,+4.02,5.953E+00,+9.0,F9V,AB,+3.78,13.4,326.3,2020.00,1889.9311,12.0400,0.4970,35.60,269.80,278.00,479.270000,RS:,+3.58,+3.63,,,eta Cas;24 Cas;HR 219;GJ 34A;HD 4614;SAO 21732;BD +57 150;WDS 00491+5749;HIP 3821;TYC 3663-2669-1,Achird
DS,01 08 16.39,+54 55 13.2,+0.39694,-1.6004,+5.17,+5.87,7.552E+00,-98.1,G5Vb,A,,0.2,334.0,1974.00,,,,,,,,,,,,,mu Cas;30 Cas;HR 321;GJ 53A;HD 6582;SAO 22024;BD +54 223;WDS 01083+5455;HIP 5336;TYC 3673-1929-1,
DS,23 59 00.54,+55 45 17.7,+0.00105,-0.0045,+4.88,+4.81,3.647E+02,-7.4,B1V,A,+2.00,3.1,327.0,1983.00,,,,,,,,,,,,,sigma Cas;8 Cas;HR 9071;HD 224572;SAO 35947;BD +54 3082;WDS 23590+5545;HIP 118243;TYC 4005-2470-1;GAIA 1993966432915818112,
DV,12 08 21.50,-50 43 20.7,-0.00501,-0.0064,+2.58,+2.45,1.212E+02,+11.0,B2IVne,A,+2.20,268.6,325.0,1913.00,,,,,,,,BE,+2.51,+2.65,1.92,,delta Cen;HR 4621;HD 105435;SAO 239689;CD -50 6697;WDS 12084-5043;HIP 59196;TYC 8241-3235-1,
