"full_name",equinox,q,e,i,w,om,tp,epoch,M1,K1,diameter,GM,rot_per,albedo,BV,spec_T
"     C/2012 F6 (Lemmon)",J2000,.7312382532220438,.9984989157707214,82.60887339118153,304.9869169886965,332.7152960821801,2456376.013967060896,2456502.5,5.6,14.75,,,,,,
"     P/2012 G1 (PANSTARRS)",J2000,2.794693817373049,.3299292327060615,12.17131001537992,265.7518642996238,283.3953209462319,2456008.010704301562,2456033.5,14.7,10.,,,,,,
"     C/2012 H2 (McNaught)",J2000,1.71677217643348,.8936094438037731,92.83558531160249,295.9019823745012,184.1359475078656,2456051.231814682628,2456065.5,15.7,10.,,,,,,
"     C/2012 J1 (Catalina)",J2000,3.158710755121596,1.001327766442323,34.18608906305249,147.2727329549897,235.2170616046954,2456268.734285094252,2456247.5,6.0,12.,,,,,,
"     C/2012 K1 (PANSTARRS)",J2000,1.054597098294,1.000152915493971,142.4282581726916,203.1066008825931,317.7376491689354,2456897.160363006209,2456697.5,7.3,6.75,,,,,,
"     P/2012 K3 (Gibbs)",J2000,2.076862345208615,.425960081442983,13.20116707544377,172.3005719123418,125.8813161908328,2456200.831322715519,2456094.5,7.4,29.5,,,,,,
"     C/2012 K5 (LINEAR)",J2000,1.141810998978076,.9985264981019603,92.8480254183311,139.289758710655,279.0390212042847,2456260.187787428956,2456215.5,12.8,5.75,,,,,,
"     C/2012 K6 (McNaught)",J2000,3.35303220900968,.9991987753308721,135.2151033902068,338.8267850717343,206.8985408988809,2456433.960743233729,2456657.5,8.9,7.75,,,,,,
"     C/2012 K8 (Lemmon)",J2000,6.463005008005234,1.002343080761075,106.1112633262136,75.84979315957342,312.8056772311116,2456888.831033022378,2456721.5,5.5,10.5,,,,,,
"     C/2012 L1 (LINEAR)",J2000,2.262410000030632,.9970529043988378,87.21916562775003,140.2893267650839,271.7668746031932,2456286.913667731627,2456251.5,11.8,8.25,,,,,,
"     C/2012 L2 (LINEAR)",J2000,1.508544861358737,.9973334994126962,70.98059405297921,205.7863950788161,270.3021161932506,2456421.836747988222,2456279.5,11.3,6.25,,,,,,
"     C/2012 L3 (LINEAR)",J2000,3.045029464598844,.9907916418741552,134.1966469627778,107.0934182632089,53.48978216542861,2456090.720012057651,2456126.5,8.9,15.25,,,,,,
"     C/2012 LP26 (Palomar)",J2000,6.536054577980472,.999279756298616,25.37984911505306,145.153209688357,153.9872478090405,2457251.073198018471,2457304.5,9.4,6.25,,,,,,
"     P/2012 NJ (La Sagra)",J2000,1.29189011014861,.8480620374298449,84.3754608943381,338.4139062493553,315.763185318045,2456091.590281097417,2456158.5,14.8,4.5,,,,,,
"     C/2012 OP (Siding Spring)",J2000,3.60707075470781,.996579402905264,114.8287856983966,351.4353643079992,267.3703391406573,2456266.243319706295,2456315.5,14.4,4.5,,,,,,
"     P/2012 O1 (McNaught)",J2000,1.499145533803354,.5792439383964281,11.4285782017345,222.1098868944044,111.2789608167202,2456132.406537544596,2456162.5,18.9,4.5,,,,,,
"     P/2012 O2 (McNaught)",J2000,1.6608341837378,.5382710102096243,24.52745486680309,183.0473914904109,120.8135816327748,2456103.599441127633,2456139.5,17.3,10.,,,,,,
"     C/2012 Q1 (Kowalski)",J2000,9.482233072331526,.6371248046829634,45.18265072196867,139.2424263814257,184.4372917191307,2455966.893862351823,2456322.5,6.6,8.25,,,,,,
"     C/2012 S1 (ISON)",J2000,.0124667131396643,1.000005095690719,62.16289397901024,345.5411989420559,295.6865418045648,2456625.264530286448,2456413.5,10.2,4.75,,,,,,
"     C/2012 S3 (PANSTARRS)",J2000,2.308065988634098,1.000708290426972,112.9307981250601,183.7527333481647,121.3058181629985,2456535.635152364404,2456434.5,13.7,4.5,,,,,,
"     C/2012 S4 (PANSTARRS)",J2000,4.348728415231951,.9999819926719808,126.5413341641622,163.6154852424364,173.1035240071253,2456471.523403002672,2456406.5,9.4,8.75,,,,,,
"     P/2012 T2 (PANSTARRS)",J2000,4.821431224329933,.1596239134462965,12.56239166911833,309.5973315107189,73.73622823927289,2456395.461473504141,2456218.5,10.2,10.,,,,,,
"     P/2012 T3 (PANSTARRS)",J2000,2.383874255590181,.6045348954980396,9.509711898087438,196.8025293364212,114.2596965639697,2456045.430049164206,2456215.5,14.9,10.,,,,,,
"     C/2012 T4 (McNaught)",J2000,1.95599650627818,.9911892281641423,24.08527345559544,219.915260493863,99.36855851218623,2456211.432461754348,2456218.5,15.5,6.25,,,,,,
"     C/2012 T5 (Bressi)",J2000,.322825502558134,1.000433520647339,72.09841478034346,318.0941911123026,230.594453549634,2456347.558470121101,2456253.5,15.3,4.75,,,,,,
"     C/2012 T6 (Kowalski)",J2000,1.775087002995631,.8763375117617659,33.27550117765739,198.0986533890619,186.2204609950616,2456165.885356304167,2456234.5,15.7,7.,,,,,,
"     C/2012 U1 (PANSTARRS)",J2000,5.263903477331076,.9995648847685535,56.33902021318833,70.04990253920136,26.98257342534774,2456843.222680107279,2456657.5,8.3,10.,,,,,,
"     P/2012 U2 (PANSTARRS)",J2000,3.62778506356466,.5065687344688919,10.53447533300739,229.534875779256,186.8630689771828,2456265.769198455029,2456245.5,12.1,10.,,,,,,
"     P/2012 US27 (Siding Spring)",J2000,1.820843212129459,.6485800781421639,39.29294285783462,1.270449712973052,49.20658082506954,2456332.058797767686,2456294.5,6.9,33.75,,,,,,
"     C/2012 V1 (PANSTARRS)",J2000,2.089202408402069,.9993932445880025,157.8399660169482,123.33528642,85.36942026042149,2456495.039075975487,2456267.5,15.2,4.5,,,,,,
"     C/2012 V2 (LINEAR)",J2000,1.454755746792016,.9976239367080847,67.18478717225561,217.3232572628736,262.1647709080186,2456521.000377521620,2456358.5,8.4,12.,,,,,,
"     P/2012 WA34 (Lemmon-PANSTARRS)",J2000,3.173201440598142,.3402501650904209,6.116702704758546,353.2424817531507,94.52890686805915,2456317.674535991806,2456238.5,15.5,6.5,,,,,,
"     C/2012 X1 (LINEAR)",J2000,1.59891007410995,.989572081770421,44.36732616876064,132.11367729,113.1464275550719,2456710.133478338204,2456644.5,5.5,14.25,,,,,,
"     C/2012 X2 (PANSTARRS)",J2000,4.748158036287616,.7704974093897997,34.12391112553792,215.6311350370557,271.0232944392426,2456382.813404042632,2456422.5,12.6,4.5,,,,,,
"     C/2012 Y1 (LINEAR)",J2000,2.016200871477807,.9468643291534705,20.95942008244565,268.8307657516833,193.2450890692166,2456310.696867299071,2456309.5,15.1,10.,,,,,,
"     C/2012 Y3 (McNaught)",J2000,1.764843475839666,.93994216589211,73.23190669390085,235.6942960582961,122.7079621602757,2456165.346342566576,2456324.5,12.9,4.5,,,,,,
"     C/2013 A1 (Siding Spring)",J2000,1.399764990633582,1.000085526301256,129.0329176101494,2.449169482138664,300.9994099243701,2456955.675811088666,2457480.5,8.5,9.,,,,,,
"     P/2013 AL76 (Catalina)",J2000,2.047469722863937,.6838864958843407,144.858571736202,27.2008959264397,145.9376195028269,2456274.825626626516,2456309.5,16.1,10.,,,,,,
"     C/2013 B2 (Catalina)",J2000,3.734134526326589,1.002702966807801,43.45488960995864,156.4335851318248,331.9587887079546,2456475.019192741957,2456428.5,13.1,5.5,,,,,,
"     C/2013 C2 (Tenagra)",J2000,9.131004892362519,.4313204574260055,21.3399416571213,308.7555510299247,247.5216806289696,2457263.900403291696,2457165.5,6.6,7.75,,,,,,
"     C/2013 D1 (Holvorcem)",J2000,2.460129113768066,.7808786089923646,10.09356443867105,252.6315005274206,294.9748842134969,2456396.220456744508,2456377.5,13.5,10.,,,,,,
"     C/2013 E1 (McNaught)",J2000,7.781629632021834,1.002258434672265,158.7203766750952,311.4257641083902,134.0288213597025,2456455.617214214331,2456454.5,6.6,8.75,,,,,,
"     C/2013 E2 (Iwamoto)",J2000,1.41332182935946,.9939350539065243,21.85772128814889,95.82364373135009,182.4705454026325,2456360.531788635076,2456516.5,10.8,6.5,,,,,,
"     C/2013 F1 (Boattini)",J2000,1.859992455482002,1.002797014816797,79.68788232424005,92.00332970660324,30.12275703766364,2456264.158189060397,2456396.5,15.1,4.5,,,,,,
"     C/2013 F2 (Catalina)",J2000,6.217862421942114,.9992588859681922,61.74926684549699,122.9911322238638,344.2722199507122,2456401.508930757730,2456501.5,7.1,10.,,,,,,
