name,asciiname,latitude,longitude,country code,admin1 code,population,elevation,timezone,admin1_name,daylight_saving,timezone_raw_offset
Zhaoyuan,Zhaoyuan,37.36497,120.40997,CN,25,120000,,Asia/Shanghai,Shandong,0,8.0
Zhanjiang,Zhanjiang,21.28145,110.34271,CN,30,637790,,Asia/Urumqi,Guangdong,0,6.0
Zhangzhou,Zhangzhou,24.51333,117.65556,CN,07,589831,,Asia/Shanghai,Fujian,0,8.0
Zhangye,Zhangye,38.93417,100.45167,CN,15,100000,,Asia/Shanghai,Gansu,0,8.0
Zibo,Zibo,36.79056,118.06333,CN,25,3129228,,Asia/Shanghai,Shandong,0,8.0
Anyang,Anyang,36.096,114.38278,CN,09,781129,,Asia/Shanghai,Henan,0,8.0
Zhabei,Zhabei,31.25861,121.45972,CN,23,840000,,Asia/Shanghai,Shanghai,0,8.0
Zaozhuang,Zaozhuang,34.86472,117.55417,CN,25,183665,,Asia/Shanghai,Shandong,0,8.0
Zaoyang,Zaoyang,32.12722,112.75417,CN,12,184509,,Asia/Shanghai,Hubei,0,8.0
Yuyao,Yuyao,30.05,121.14944,CN,02,114177,,Asia/Shanghai,Zhejiang,0,8.0
Kunshan,Kunshan,31.37762,120.95431,CN,04,1600000,,Asia/Shanghai,Jiangsu,0,8.0
Yunfu,Yunfu,22.92833,112.03954,CN,30,2612800,,Asia/Shanghai,Guangdong,0,8.0
Yuncheng,Yuncheng,35.02306,110.99278,CN,24,201950,,Asia/Shanghai,Shanxi,0,8.0
Yulin,Yulin,22.63333,110.15,CN,16,148485,,Asia/Shanghai,Guangxi,0,8.0
Yuci,Yuci,37.68028,112.73194,CN,24,235929,,Asia/Shanghai,Shanxi,0,8.0
Qianjiang,Qianjiang,30.421,112.8919,CN,12,179079,,Asia/Shanghai,Hubei,0,8.0
Zhongxiang,Zhongxiang,31.16611,112.58306,CN,12,108883,,Asia/Shanghai,Hubei,0,8.0
Chengzhong,Chengzhong,30.94454,113.55284,CN,12,265886,,Asia/Shanghai,Hubei,0,8.0
Yinchuan,Yinchuan,38.46806,106.27306,CN,21,475101,,Asia/Shanghai,Ningxia Hui Autonomous Region,0,8.0
Qingzhou,Qingzhou,36.69667,118.47972,CN,25,117056,,Asia/Shanghai,Shandong,0,8.0
Yichun,Yichun,27.83333,114.4,CN,03,152169,,Asia/Shanghai,Jiangxi,0,8.0
Yichang,Yichang,30.71444,111.28472,CN,12,476725,,Asia/Shanghai,Hubei,0,8.0
Yibin,Yibin,28.7593,104.63994,CN,32,242111,,Asia/Shanghai,Sichuan,0,8.0
Yantai,Yantai,37.47649,121.44081,CN,25,719332,,Asia/Shanghai,Shandong,0,8.0
Yangzhou,Yangzhou,32.39722,119.43583,CN,04,539715,,Asia/Shanghai,Jiangsu,0,8.0
Yangshuo,Yangshuo,24.78081,110.48967,CN,16,300000,,Asia/Shanghai,Guangxi,0,8.0
Yangquan,Yangquan,37.8575,113.56333,CN,24,413394,,Asia/Shanghai,Shanxi,0,8.0
Yancheng,Yancheng,33.3575,120.1573,CN,04,628441,,Asia/Shanghai,Jiangsu,0,8.0
Tongshan,Tongshan,34.18045,117.15707,CN,04,1199193,,Asia/Shanghai,Jiangsu,0,8.0
Shangrao,Shangrao,28.45179,117.94287,CN,03,318769,,Asia/Shanghai,Jiangxi,0,8.0
Xuchang,Xuchang,34.03189,113.86299,CN,09,1265536,,Asia/Shanghai,Henan,0,8.0
Xuanzhou,Xuanzhou,30.9525,118.75528,CN,01,127758,,Asia/Shanghai,Anhui,0,8.0
Xiuying,Xiuying,20.00073,110.29359,CN,31,290000,,Asia/Shanghai,Hainan,0,8.0
Xiulin,Xiulin,29.71667,112.4,CN,12,122411,,Asia/Shanghai,Hubei,0,8.0
Xinzhou,Xinzhou,38.40917,112.73333,CN,24,154003,,Asia/Shanghai,Shanxi,0,8.0
Xinyang,Xinyang,32.12278,114.06556,CN,09,1590668,,Asia/Shanghai,Henan,0,8.0
Xinxiang,Xinxiang,35.19033,113.80151,CN,09,743601,,Asia/Shanghai,Henan,0,8.0
Xintai,Xintai,35.90056,117.75194,CN,25,222459,,Asia/Shanghai,Shandong,0,8.0
Xinpu,Xinpu,34.59972,119.15944,CN,04,392444,,Asia/Shanghai,Jiangsu,0,8.0
Xinji,Xinji,37.90278,115.20361,CN,10,145911,,Asia/Shanghai,Hebei,0,8.0
Xining,Xining,36.62554,101.75739,CN,06,767531,,Asia/Shanghai,Qinghai,0,8.0
Xingtai,Xingtai,37.06306,114.49417,CN,10,611739,,Asia/Shanghai,Hebei,0,8.0
Ankang,Ankang,32.68,109.01722,CN,26,132654,,Asia/Shanghai,Shaanxi,0,8.0
Xindi,Xindi,29.81667,113.46667,CN,12,175761,,Asia/Shanghai,Hubei,0,8.0
Sanshui,Sanshui,23.15486,112.89161,CN,30,153714,,Asia/Shanghai,Guangdong,0,8.0
Xichang,Xichang,27.89642,102.26341,CN,32,126787,,Asia/Shanghai,Sichuan,0,8.0
Xiazhen,Xiazhen,34.80222,117.11167,CN,25,125667,,Asia/Shanghai,Shandong,0,8.0
Xiaogan,Xiaogan,30.92689,113.92221,CN,12,160437,,Asia/Shanghai,Hubei,0,8.0
Xianyang,Xianyang,34.33778,108.70261,CN,26,1034081,,Asia/Shanghai,Shaanxi,0,8.0
Xiantao,Xiantao,30.3708,113.44294,CN,12,239406,,Asia/Shanghai,Hubei,0,8.0
Xianning,Xianning,29.84347,114.32201,CN,12,179494,,Asia/Shanghai,Hubei,0,8.0
Zhuhai,Zhuhai,22.27694,113.56778,CN,30,501199,,Asia/Shanghai,Guangdong,0,8.0
Xiangtan,Xiangtan,27.85,112.9,CN,11,674189,,Asia/Shanghai,Hunan,0,8.0
Xiangyang,Xiangyang,32.0422,112.14479,CN,12,462956,,Asia/Shanghai,Hubei,0,8.0
Xi’an,Xi'an,34.25833,108.92861,CN,26,6501190,,Asia/Shanghai,Shaanxi,0,8.0
Xiamen,Xiamen,24.47979,118.08187,CN,07,3531347,,Asia/Shanghai,Fujian,0,8.0
Wuzhou,Wuzhou,23.48333,111.31667,CN,16,265846,,Asia/Shanghai,Guangxi,0,8.0
Wuxue,Wuxue,29.85058,115.5525,CN,12,220661,,Asia/Shanghai,Hubei,0,8.0
Wuxi,Wuxi,31.56887,120.28857,CN,04,3543719,,Asia/Shanghai,Jiangsu,0,8.0
Dongyang,Dongyang,29.26778,120.22528,CN,02,130387,,Asia/Shanghai,Zhejiang,0,8.0
Changde,Changde,29.03205,111.69844,CN,11,517780,,Asia/Shanghai,Hunan,0,8.0
Wuhu,Wuhu,31.33728,118.37351,CN,01,507524,,Asia/Shanghai,Anhui,0,8.0
Wuhan,Wuhan,30.58333,114.26667,CN,12,9785388,,Asia/Shanghai,Hubei,0,8.0
Wuhai,Wuhai,39.68442,106.81583,CN,20,218427,,Asia/Shanghai,Inner Mongolia,0,8.0
Wuda,Wuda,39.49944,106.71167,CN,20,129922,,Asia/Shanghai,Inner Mongolia,0,8.0
Wenzhou,Wenzhou,27.99942,120.66682,CN,02,865672,,Asia/Shanghai,Zhejiang,0,8.0
Tianfu,Tianfu,37.26366,122.05228,CN,25,115370,,Asia/Shanghai,Shandong,0,8.0
Wenchang,Wenchang,19.6157,110.74894,CN,31,115000,,Asia/Shanghai,Hainan,0,8.0
Weinan,Weinan,34.50355,109.50891,CN,26,172321,,Asia/Shanghai,Shaanxi,0,8.0
Weihai,Weihai,37.50914,122.11356,CN,25,152595,,Asia/Shanghai,Shandong,0,8.0
Weifang,Weifang,36.71,119.10194,CN,25,394732,,Asia/Shanghai,Shandong,0,8.0
Wanxian,Wanxian,30.81601,108.37407,CN,33,188980,,Asia/Shanghai,Chongqing,0,8.0
Wafangdian,Wafangdian,39.61833,122.00806,CN,19,250591,,Asia/Shanghai,Liaoning,0,8.0
Tongzhou,Tongzhou,39.90395,116.66183,CN,22,163326,,Asia/Shanghai,Beijing,0,8.0
Wusong,Wusong,30.95,117.78333,CN,01,312588,,Asia/Shanghai,Anhui,0,8.0
Tianshui,Tianshui,34.57952,105.74238,CN,15,3500000,,Asia/Shanghai,Gansu,0,8.0
Tianjin,Tianjin,39.14222,117.17667,CN,28,11090314,,Asia/Shanghai,Tianjin,0,8.0
Chengtangcun,Chengtangcun,35.08357,117.19071,CN,25,105456,,Asia/Shanghai,Shandong,0,8.0
Tangshan,Tangshan,39.63333,118.18333,CN,10,3372102,,Asia/Shanghai,Hebei,0,8.0
Tanggu,Tanggu,39.02111,117.64694,CN,28,535298,,Asia/Shanghai,Tianjin,0,8.0
Taizhou,Taizhou,32.49069,119.90812,CN,04,612356,,Asia/Shanghai,Jiangsu,0,8.0
Taiyuan,Taiyuan,37.86944,112.56028,CN,24,3426519,,Asia/Shanghai,Shanxi,0,8.0
Taishan,Taishan,22.25135,112.7799,CN,30,145440,,Asia/Shanghai,Guangdong,0,8.0
Tai’an,Tai'an,36.18528,117.12,CN,25,5499000,,Asia/Shanghai,Shandong,0,8.0
Suzhou,Suzhou,33.63611,116.97889,CN,01,205130,,Asia/Shanghai,Anhui,0,8.0
Suizhou,Suizhou,31.71111,113.36306,CN,12,323945,,Asia/Shanghai,Hubei,0,8.0
Suining,Suining,30.50802,105.57332,CN,32,124924,,Asia/Shanghai,Sichuan,0,8.0
Songjiang,Songjiang,31.03595,121.2146,CN,23,130218,,Asia/Shanghai,Shanghai,0,8.0
Shizuishan,Shizuishan,39.23333,106.76944,CN,21,136570,,Asia/Shanghai,Ningxia Hui Autonomous Region,0,8.0
Shiyan,Shiyan,32.6475,110.77806,CN,12,3460000,,Asia/Shanghai,Hubei,0,8.0
Shiqiao,Shiqiao,22.9464,113.35769,CN,30,135308,,Asia/Shanghai,Guangdong,0,8.0
Shiqi,Shiqi,22.51682,113.38521,CN,30,342306,,Asia/Shanghai,Guangdong,0,8.0
Shilong,Shilong,23.11444,113.84722,CN,30,109733,,Asia/Shanghai,Guangdong,0,8.0
Tongchuanshi,Tongchuanshi,35.07474,109.08495,CN,26,223603,,Asia/Shanghai,Shaanxi,0,8.0
