Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Feature_Type_Code,Origin,
"Lents (Lenz) J","Lents  Lenz  J","Moon",15.82,-3.63,262.63,SF,"Heinrich Friedrich Emil; Russian physicist (1804-1865). ",
"Lenya","Lenya","Mars",14.96,-26.72,253.2,AA,"Town in Burma.",
"Leocritus","Leocritus","Tethys",12.5,21.53,241.34,AA,"A suitor of Penelope, killed by Telemachus.  ",
"Leona","Leona","Venus",3,-3.1,169,AA,"Greek first name.",
"Leonard","Leonard","Venus",31.7,-73.8,185.2,AA,"Wrexie Louise; American assistant to Percival Lowell (1867-1937).",
"Leonid","Leonid","Moon",0.12,38.31,324.99,AA,"Russian male name of Greek origin (Lunokhod-1 landing site feature).",
"Leonov","Leonov","Moon",34.04,19.07,148.36,AA,"Aleksey Arkhipovich; Soviet cosmonaut (1934-2019).",
"Leopardi","Leopardi","Mercury",71.45,-72.76,175.16,AA,"G.; Italian poet, scholar, and philosopher (1798-1837).",
"Lepaute","Lepaute","Moon",16.36,-33.3,326.31,AA,"Nicole Reine De La Briere; French astronomer (1723-1788).",
"Lepaute D","Lepaute D","Moon",20.41,-34.36,323.7,SF,"Nicole Reine De La Briere; French astronomer (1723-1788).",
"Lepaute E","Lepaute E","Moon",10.48,-35.75,324.94,SF,"Nicole Reine De La Briere; French astronomer (1723-1788).",
"Lepaute F","Lepaute F","Moon",6.23,-37.34,325.12,SF,"Nicole Reine De La Briere; French astronomer (1723-1788).",
"Lepaute K","Lepaute K","Moon",10.54,-34.39,325.99,SF,"Nicole Reine De La Briere; French astronomer (1723-1788).",
"Lepaute L","Lepaute L","Moon",9.05,-34.44,324.68,SF,"Nicole Reine De La Briere; French astronomer (1723-1788).",
"Lepida","Lepida","Vesta",42.9,16.74,96.76,AA,"Roman vestal virgin (c. 25).",
"Leprechaun Vallis","Leprechaun Vallis","Ariel",328,-10.4,10.2,VA,"Spirits or dwarfs.",
"Lermontov","Lermontov","Mercury",166,15.24,311.06,AA,"Mikhail Yurevich; Russian poet (1814-1841).",
"Lernaeus Labyrinthus","Lernaeus Labyrinthus","Titan",167,-83.4,222,LB,"Planet from the Dune series; where Miles Teg retires, also the home planet of his Bene Gesserit mother, Lady Janet Roxbrough.",
"Lerna Regio","Lerna Regio","Io",580.94,-61.8,67.92,RE,"Greek; meadows of Lyrcea.",
"Lesavka Chasma","Lesavka Chasma","Venus",800,-0.8,215,CM,"E. Slavic forest deity, daughter of the forest father Leshiy and the swamp deity Kikimora.",
"Leslie","Leslie","Venus",7.2,-11.2,13.5,AA,"English first name.",
"Lessing","Lessing","Mercury",95,-28.5,269.66,AA,"Gotthold Ephraim; German critic and dramatist (1729-1781).",
"Letas Lacus","Letas Lacus","Titan",23.7,81.3,271.8,LC,"Lake in Vanuatu.",
"Lethe Vallis","Lethe Vallis","Mars",236.65,3.16,154.97,VA,"River in Katmai National Monument, Alaska, USA.",
"Letitia","Letitia","Venus",17.5,34.5,288.7,AA,"First name from Latin.",
"Leto Regio","Leto Regio","Phoebe",95,60,340,RE,"Daughter of Phoebe in Greek mythology.",
"Letronne","Letronne","Moon",117.59,-10.5,317.51,AA,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne A","Letronne A","Moon",7.11,-12.15,320.9,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne B","Letronne B","Moon",5.5,-11.27,318.7,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne C","Letronne C","Moon",3.44,-10.71,321.51,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne F","Letronne F","Moon",7.45,-9.23,313.87,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne G","Letronne G","Moon",10.08,-12.69,313.36,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne H","Letronne H","Moon",4.19,-12.67,313.83,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne K","Letronne K","Moon",7.39,-14.37,316.31,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne L","Letronne L","Moon",4.17,-14.32,315.71,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne M","Letronne M","Moon",3.91,-11.96,315.76,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne N","Letronne N","Moon",3.46,-12.33,320.17,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Letronne T","Letronne T","Moon",3.77,-12.48,317.23,SF,"Jean Antoine; French archaeologist (1787-1848).",
"Leucippus","Leucippus","Moon",57.03,29.24,243.59,AA,"Greek philosopher (unkn-fl. c. 440 B.C.).",
"Leucippus F","Leucippus F","Moon",25.04,29.23,246.1,SF,"Greek philosopher (unkn-fl. c. 440 B.C.).",
"Leucippus K","Leucippus K","Moon",17.25,27.28,244.49,SF,"Greek philosopher (unkn-fl. c. 440 B.C.).",
